[16:44:17] INFO     Server listening on 192.168.1.46:5000
[16:45:08] INFO     Client bound on 192.168.1.46:9084
[16:45:11] INFO     Welcome, Mehdi
[16:45:11] INFO     Mehdi joined from ('192.168.1.46', 9084)
[16:45:14] INFO     <Mehdi> hy
[16:45:18] INFO     <Mehdi> dsfsdfad
[16:45:20] INFO     <Mehdi> sdafds
[16:45:21] INFO     <Mehdi> ad
[16:45:23] INFO     <Mehdi> a
